KiNESYS Industry,Units,Description,IEA FLOW
IPC,mt,Petrochemicals - multiple products with different technologies with feedstock and fuel input,CHEMICAL
IFP,Petajoules,Food processing,FOODPRO
IIS,mt,Iron and Steel,IRONSTL
ILP,mt,Pulp and Paper,PAPERPRO
IMC,Petajoules,Mining and Construction,"CONSTRUC,MINING"
INF,mt,Non-ferrous metals,NONFERR
INM,mt,Non-metals,NONMET
IOI,Petajoules,Other,"INONSPEC,TEXTILES,WOODPRO"
ITM,Petajoules,Transport equip and machinery,"MACHINE,TRANSEQ"
ONO,Petajoules,Other non-specified,ONONSPEC
